arm,reference,threshold,scientific_label,validation_loss,micro_dice,macro_dice,micro_iou,macro_iou,precision,recall,f1,false_positive_rate,false_negative_rate,positive_plan_dice,positive_plan_iou,empty_prediction_rate,prediction_foreground_ratio,opening_instance_precision,opening_instance_recall,opening_instance_f1,fragmentation_rate,merge_rate,boundary_f1
A_candidate_v3_1,REFERENCE_V31,0.2,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7636150712727796,0.7547882082982826,0.617619200566342,0.6254298931379678,0.7713565885126727,0.7560274013821049,0.7636150712727796,0.0010705057446603714,0.24397259861789514,0.7547882082982826,0.6254298931379678,0.0,0.00465972900390625,0.7925854131330264,0.8583049068485962,0.8241370622323004,0.007347152978220939,0.002665374363944754,0.7916957260572166
A_candidate_v3_1,REFERENCE_V31,0.3,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7639150303739699,0.7548214102456094,0.618011746073644,0.6255130415489478,0.7767900650895059,0.7514598357120649,0.76391503037397,0.001031486621409147,0.24854016428793516,0.7548214102456094,0.6255130415489478,0.0,0.004599180221557617,0.7994121969140338,0.8564681186040409,0.8269571826703827,0.006822356336919444,0.0024491795248591723,0.7927436637488443
A_candidate_v3_1,REFERENCE_V31,0.4,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7639828962418468,0.7547047041781245,0.618100586083259,0.6253619951129957,0.7810644687401112,0.7476324684312408,0.7639828962418468,0.0010010724030399462,0.25236753156875924,0.7547047041781245,0.6253619951129957,0.0,0.004550714492797852,0.8077304261645193,0.8554185253214379,0.8308907862877533,0.006559958016268696,0.0022299306243805748,0.793426937389432
A_candidate_v3_1,REFERENCE_V31,0.5,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7640621379619283,0.7545902229671665,0.6182043300315954,0.6252608553070682,0.7850534334991006,0.7441641675777058,0.7640621379619283,0.0009733028993115454,0.25583583242229424,0.7545902229671665,0.6252608553070682,0.0,0.004506587982177734,0.8097488187018155,0.8543689320388349,0.8314606741573034,0.0060351613749672,0.002238249191743347,0.7938506980001198
A_candidate_v3_1,REFERENCE_V31,0.6,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7638326362257263,0.7541836049467434,0.6179039008873263,0.6247757690999546,0.7888573266732071,0.7403468300853535,0.7638326362257263,0.0009465874485196953,0.2596531699146465,0.7541836049467434,0.6247757690999546,0.0,0.004461851119995117,0.8144898470794686,0.8525321437942797,0.833076923076923,0.0060351613749672,0.002256204562547004,0.7939689259788937
A_candidate_v3_1,REFERENCE_V31,0.7,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7635593202710096,0.7537361468551333,0.6175462622585101,0.6242419497267071,0.792909033173697,0.7363048253312338,0.7635593202710097,0.0009186358811022538,0.26369517466876624,0.7537361468551333,0.6242419497267071,0.0,0.004414815902709961,0.8224417426545086,0.8520073471529782,0.8369635262276067,0.0060351613749672,0.002026342451874367,0.7941361213822077
A_candidate_v3_1,REFERENCE_V31,0.8,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7631261400896059,0.7530410081474734,0.6169797623056655,0.6234239655259463,0.7977864429477333,0.7313521157838782,0.763126140089606,0.0008855194542957137,0.2686478842161219,0.7530410081474734,0.6234239655259463,0.0,0.004358310699462891,0.8258541560428353,0.8499081605877722,0.8377085219190483,0.005247966413014957,0.0017848036715961244,0.794213852918827
A_candidate_v3_1,REFERENCE_V31,0.9,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.243384501762868,0.7623329942783146,0.7519178336753669,0.6159435379258551,0.6220566996681076,0.805090644618659,0.7238879472031935,0.7623329942783146,0.0008371575891068803,0.2761120527968065,0.7519178336753669,0.6220566996681076,0.0,0.004274692535400391,0.830416881111683,0.8467593807399633,0.8385085098090165,0.007084754657570191,0.0018013381369016985,0.7939773273999333
A_candidate_v3_1,REFERENCE_V32,0.1,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24338450159826788,0.7629259936089675,0.754487849548971,0.6167181507876666,0.6249770861064342,0.7629321152962747,0.7629198720198991,0.7629259936089675,0.00113243614583244,0.2370801279801009,0.754487849548971,0.6249770861064342,0.0,0.004754133224487304,0.7811158798283262,0.8596168984518499,0.8184884447220486,0.007609551298871687,0.0033381020505484026,0.7901201854491997
A_candidate_v3_1,REFERENCE_V32,0.2,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24338450159826788,0.7636150712727796,0.7547882082982826,0.617619200566342,0.6254298931379678,0.7713565885126727,0.7560274013821049,0.7636150712727796,0.0010705057446603714,0.24397259861789514,0.7547882082982826,0.6254298931379678,0.0,0.00465972900390625,0.7925854131330264,0.8583049068485962,0.8241370622323004,0.007347152978220939,0.002665374363944754,0.7916957260572166
A_candidate_v3_1,REFERENCE_V32,0.3,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24338450159826788,0.7639150303739699,0.7548214102456094,0.618011746073644,0.6255130415489478,0.7767900650895059,0.7514598357120649,0.76391503037397,0.001031486621409147,0.24854016428793516,0.7548214102456094,0.6255130415489478,0.0,0.004599180221557617,0.7994121969140338,0.8564681186040409,0.8269571826703827,0.006822356336919444,0.0024491795248591723,0.7927436637488443
A_candidate_v3_1,REFERENCE_V32,0.4,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24338450159826788,0.7639828962418468,0.7547047041781245,0.618100586083259,0.6253619951129957,0.7810644687401112,0.7476324684312408,0.7639828962418468,0.0010010724030399462,0.25236753156875924,0.7547047041781245,0.6253619951129957,0.0,0.004550714492797852,0.8077304261645193,0.8554185253214379,0.8308907862877533,0.006559958016268696,0.0022299306243805748,0.793426937389432
A_candidate_v3_1,REFERENCE_V32,0.5,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24338450159826788,0.7640621379619283,0.7545902229671665,0.6182043300315954,0.6252608553070682,0.7850534334991006,0.7441641675777058,0.7640621379619283,0.0009733028993115454,0.25583583242229424,0.7545902229671665,0.6252608553070682,0.0,0.004506587982177734,0.8097488187018155,0.8543689320388349,0.8314606741573034,0.0060351613749672,0.002238249191743347,0.7938506980001198
A_candidate_v3_1,REFERENCE_V32,0.6,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24338450159826788,0.7638326362257263,0.7541836049467434,0.6179039008873263,0.6247757690999546,0.7888573266732071,0.7403468300853535,0.7638326362257263,0.0009465874485196953,0.2596531699146465,0.7541836049467434,0.6247757690999546,0.0,0.004461851119995117,0.8144898470794686,0.8525321437942797,0.833076923076923,0.0060351613749672,0.002256204562547004,0.7939689259788937
A_candidate_v3_1,REFERENCE_V32,0.7,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24338450159826788,0.7635593202710096,0.7537361468551333,0.6175462622585101,0.6242419497267071,0.792909033173697,0.7363048253312338,0.7635593202710097,0.0009186358811022538,0.26369517466876624,0.7537361468551333,0.6242419497267071,0.0,0.004414815902709961,0.8224417426545086,0.8520073471529782,0.8369635262276067,0.0060351613749672,0.002026342451874367,0.7941361213822077
A_candidate_v3_1,REFERENCE_V32,0.8,EXPLORATORY_NOT_HUMAN_GOLD_VALIDATED,0.24338450159826788,0.7631261400896059,0.7530410081474734,0.6169797623056655,0.6234239655259463,0.7977864429477333,0.7313521157838782,0.763126140089606,0.0008855194542957137,0.2686478842161219,0.7530410081474734,0.6234239655259463,0.0,0.004358310699462891,0.8258541560428353,0.8499081605877722,0.8377085219190483,0.005247966413014957,0.0017848036715961244,0.794213852918827
